Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
RW Price,2011-2011,1,1,3.0,0,33,0,-,-,11.00,-,0,0,0,0
AM Rahane,2008-2009,10,1,1.0,0,5,1,1/5,5.00,5.00,6.0,0,0,1,0
RR Raje,2008-2009,10,10,23.1,0,209,6,2/16,34.83,9.02,23.1,0,0,3,0
N Rana,2016-2017,17,1,1.0,0,3,0,-,-,3.00,-,0,0,4,0
AT Rayudu,2010-2017,114,-,-,-,-,-,-,-,-,-,-,-,45,2
L Ronchi,2008-2009,5,-,-,-,-,-,-,-,-,-,-,-,4,0
PJ Sangwan,2018-2018,1,1,2.0,0,19,0,-,-,9.50,-,0,0,0,0
K Santokie,2014-2014,2,2,8.0,0,90,3,2/50,30.00,11.25,16.0,0,0,1,0
R Sathish,2010-2011,21,8,13.1,0,122,2,1/11,61.00,9.26,39.5,0,0,6,0
PR Shah,2008-2009,14,-,-,-,-,-,-,-,-,-,-,-,10,2
RA Shaikh,2009-2009,1,1,1.0,0,11,0,-,-,11.00,-,0,0,0,0
KV Sharma,2017-2017,9,9,30.4,0,214,13,4/16,16.46,6.97,14.1,1,0,3,0
RG Sharma,2011-2018,128,8,9.2,0,101,1,1/20,101.00,10.82,56.0,0,0,57,0
R Shukla,2012-2012,1,1,3.0,0,31,0,-,-,10.33,-,0,0,0,0
LMP Simmons,2014-2017,29,1,3.0,0,34,1,1/34,34.00,11.33,18.0,0,0,10,0
RP Singh,2012-2012,11,11,41.0,0,318,10,3/28,31.80,7.75,24.6,0,0,3,0
DR Smith,2008-2013,24,13,29.0,0,237,9,3/26,26.33,8.17,19.3,0,0,11,0
TG Southee,2016-2017,14,14,53.0,1,425,12,3/24,35.41,8.01,26.5,0,0,5,0
J Suchith,2015-2016,14,13,41.0,0,368,10,2/14,36.80,8.97,24.6,0,0,8,0
TL Suman,2011-2012,10,3,6.0,0,50,0,-,-,8.33,-,0,0,3,0
P Suyal,2013-2015,5,5,16.0,0,151,2,1/21,75.50,9.43,48.0,0,0,1,0
A Symonds,2011-2011,11,3,4.0,0,41,1,1/11,41.00,10.25,24.0,0,0,5,0
YV Takawale,2008-2009,11,-,-,-,-,-,-,-,-,-,-,-,11,3
AP Tare,2010-2015,29,-,-,-,-,-,-,-,-,-,-,-,2,5
SR Tendulkar,2008-2013,78,4,6.0,0,58,0,-,-,9.66,-,0,0,23,0
DJ Thornely,2008-2008,6,4,7.0,0,40,3,2/7,13.33,5.71,14.0,0,0,3,0
SS Tiwary,2008-2017,24,-,-,-,-,-,-,-,-,-,-,-,4,0
RV Uthappa,2008-2008,14,-,-,-,-,-,-,-,-,-,-,-,9,0
R Vinay Kumar,2015-2017,17,17,55.3,1,463,12,2/17,38.58,8.34,27.7,0,0,6,0
SA Yadav,2012-2018,15,-,-,-,-,-,-,-,-,-,-,-,8,0
VS Yeligati,2008-2008,2,2,5.0,0,59,0,-,-,11.80,-,0,0,0,0
