Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
S Sohal,2011-2011,11,-,-,-,-,-,-,-,-,-,-,-,0,0
DW Steyn,2011-2012,24,24,92.1,3,584,32,3/8,18.25,6.33,17.2,0,0,5,0
SB Styris,2008-2009,10,10,35.0,0,263,8,3/32,32.87,7.51,26.2,0,0,1,0
TP Sudhindra,2012-2012,3,3,11.4,0,136,1,1/46,136.00,11.65,70.0,0,0,0,0
TL Suman,2009-2010,26,7,17.0,0,132,5,2/14,26.40,7.76,20.4,0,0,5,0
B Sumanth,2010-2010,5,-,-,-,-,-,-,-,-,-,-,-,4,0
A Symonds,2008-2010,28,27,83.5,0,633,19,3/21,33.31,7.55,26.4,0,0,16,0
J Theron,2012-2012,2,2,8.0,0,66,2,2/37,33.00,8.25,24.0,0,0,0,0
WPUJC Vaas,2008-2010,13,13,47.0,2,355,18,3/21,19.72,7.55,15.6,0,0,0,0
Y Venugopal Rao,2008-2010,33,14,30.0,0,269,6,2/23,44.83,8.96,30.0,0,0,7,0
DP Vijaykumar,2008-2008,9,9,25.2,0,199,4,1/17,49.75,7.85,38.0,0,0,0,0
CL White,2011-2012,19,2,3.0,0,27,0,-,-,9.00,-,0,0,5,0
AS Yadav,2008-2008,8,-,-,-,-,-,-,-,-,-,-,-,1,0
DNT Zoysa,2008-2008,3,3,11.0,0,99,2,1/30,49.50,9.00,33.0,0,0,1,0
