Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
Sachin Baby,2013-2013,4,-,-,-,-,-,-,-,-,-,-,-,2,0
D Salunkhe,2008-2008,6,5,8.0,0,78,1,1/21,78.00,9.75,48.0,0,0,2,0
SV Samson,2013-2018,53,-,-,-,-,-,-,-,-,-,-,-,32,2
OA Shah,2012-2013,15,-,-,-,-,-,-,-,-,-,-,-,5,0
PR Shah,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,0,1
DJM Short,2018-2018,7,2,3.0,0,19,1,1/10,19.00,6.33,18.0,0,0,2,0
R Shukla,2013-2013,3,3,8.0,0,79,3,2/28,26.33,9.87,16.0,0,0,2,0
A Singh,2009-2012,23,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0,1,0
GC Smith,2008-2010,25,-,-,-,-,-,-,-,-,-,-,-,6,0
SPD Smith,2014-2015,24,-,-,-,-,-,-,-,-,-,-,-,16,0
IS Sodhi,2018-2018,6,6,23.0,0,135,5,1/14,27.00,5.86,27.6,0,0,0,0
Sohail Tanvir,2008-2008,11,11,41.1,0,266,22,6/14,12.09,6.46,11.2,1,1,4,0
TG Southee,2014-2015,10,10,38.0,1,323,6,2/32,53.83,8.50,38.0,0,0,6,0
BB Sran,2015-2015,1,1,3.0,0,35,0,-,-,11.66,-,0,0,0,0
S Sreesanth,2013-2013,7,7,21.4,2,163,5,2/20,32.60,7.52,26.0,0,0,0,0
BA Stokes,2018-2018,13,12,37.0,1,303,8,3/15,37.87,8.18,27.7,0,0,6,0
SW Tait,2010-2013,21,21,78.5,1,640,23,3/13,27.82,8.11,20.5,0,0,6,0
PV Tambe,2013-2015,26,26,94.0,0,710,23,4/20,30.86,7.55,24.5,1,0,3,0
LRPL Taylor,2011-2011,12,1,1.0,0,11,0,-,-,11.00,-,0,0,4,0
R Tewatia,2014-2015,4,4,12.0,0,90,3,1/17,30.00,7.50,24.0,0,0,0,0
J Theron,2015-2015,1,1,4.0,0,40,1,1/40,40.00,10.00,24.0,0,0,0,0
RA Tripathi,2018-2018,12,-,-,-,-,-,-,-,-,-,-,-,4,0
SK Trivedi,2008-2013,76,75,251.0,2,1904,65,4/25,29.29,7.58,23.1,1,0,14,0
JD Unadkat,2018-2018,15,15,50.2,0,486,11,3/46,44.18,9.65,27.4,0,0,6,0
A Uniyal,2010-2010,2,2,6.0,0,66,2,2/41,33.00,11.00,18.0,0,0,0,0
PC Valthaty,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,0,0
AC Voges,2010-2010,9,7,9.0,0,76,0,-,-,8.44,-,0,0,1,0
SB Wagh,2010-2010,1,1,1.0,0,16,1,1/16,16.00,16.00,6.0,0,0,0,0
SK Warne,2008-2011,55,54,199.0,1,1447,57,4/21,25.38,7.27,20.9,1,0,16,0
SR Watson,2008-2015,78,70,226.5,3,1701,61,3/10,27.88,7.49,22.3,0,0,21,0
DH Yagnik,2011-2014,25,-,-,-,-,-,-,-,-,-,-,-,12,5
Younis Khan,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,1,0
