Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
L Ngidi,2018-2018,7,7,26.0,2,156,11,4/10,14.18,6.00,14.1,1,0,1,0
M Ntini,2008-2008,9,9,35.0,2,242,7,4/21,34.57,6.91,30.0,1,0,1,0
JDP Oram,2008-2009,15,11,31.3,0,282,8,3/32,35.25,8.95,23.6,0,0,8,0
IC Pandey,2014-2015,23,22,73.0,4,541,17,2/23,31.82,7.41,25.7,0,0,6,0
PA Patel,2008-2010,26,-,-,-,-,-,-,-,-,-,-,-,9,2
NLTC Perera,2010-2010,1,1,1.0,0,19,0,-,-,19.00,-,0,0,0,0
SK Raina,2008-2018,147,58,128.2,0,928,24,2/0,38.66,7.23,32.0,0,0,84,0
AS Rajpoot,2013-2013,2,2,4.0,0,35,1,1/25,35.00,8.75,24.0,0,0,0,0
AT Rayudu,2018-2018,16,-,-,-,-,-,-,-,-,-,-,-,2,0
WP Saha,2011-2013,14,-,-,-,-,-,-,-,-,-,-,-,2,0
V Shankar,2014-2014,1,1,1.0,0,19,0,-,-,19.00,-,0,0,0,0
KV Sharma,2018-2018,6,5,9.3,0,89,4,2/13,22.25,9.36,14.2,0,0,3,0
MM Sharma,2013-2015,47,47,161.3,0,1259,57,4/14,22.08,7.79,17.0,1,0,10,0
DR Shorey,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,0,0
DR Smith,2014-2015,32,6,12.0,0,112,5,1/11,22.40,9.33,14.4,0,0,14,0
TG Southee,2011-2011,5,5,19.0,0,166,4,1/30,41.50,8.73,28.5,0,0,0,0
SB Styris,2011-2011,2,1,1.0,0,13,0,-,-,13.00,-,0,0,1,0
SN Thakur,2018-2018,13,13,46.4,1,431,16,2/18,26.93,9.23,17.5,0,0,4,0
T Thushara,2009-2010,6,6,22.3,0,161,8,2/16,20.12,7.15,16.8,0,0,3,0
S Tyagi,2009-2010,14,14,34.5,0,295,6,2/18,49.16,8.46,34.8,0,0,3,0
S Vidyut,2008-2008,9,1,2.0,0,22,1,1/22,22.00,11.00,12.0,0,0,1,0
M Vijay,2009-2018,65,-,-,-,-,-,-,-,-,-,-,-,32,0
SR Watson,2018-2018,15,11,28.0,0,251,6,2/29,41.83,8.96,28.0,0,0,3,0
DJ Willey,2018-2018,3,3,10.0,0,95,2,1/24,47.50,9.50,30.0,0,0,2,0
MA Wood,2018-2018,1,1,4.0,0,49,0,-,-,12.25,-,0,0,1,0
